t,temp
1982-01-01,12.510000228881836
1982-01-02,11.979999542236328
1982-01-03,11.850000381469727
1982-01-04,11.84000015258789
1982-01-05,11.770000457763672
1982-01-06,10.489999771118164
1982-01-07,9.930000305175781
1982-01-08,9.899999618530273
1982-01-09,9.9399995803833
1982-01-10,9.989999771118164
1982-01-11,10.079999923706055
1982-01-12,11.40999984741211
1982-01-13,11.579999923706055
1982-01-14,11.630000114440918
1982-01-15,11.520000457763672
1982-01-16,10.8100004196167
1982-01-17,10.600000381469727
1982-01-18,10.609999656677246
1982-01-19,10.5600004196167
1982-01-20,10.520000457763672
1982-01-21,10.380000114440918
1982-01-22,10.359999656677246
1982-01-23,10.359999656677246
1982-01-24,10.75
1982-01-25,10.8100004196167
1982-01-26,10.9399995803833
1982-01-27,10.970000267028809
1982-01-28,10.350000381469727
1982-01-29,9.930000305175781
1982-01-30,9.640000343322754
1982-01-31,9.279999732971191
1982-02-01,9.100000381469727
1982-02-02,8.869999885559082
1982-02-03,9.609999656677246
1982-02-04,9.600000381469727
1982-02-05,9.069999694824219
1982-02-06,8.6899995803833
1982-02-07,8.430000305175781
1982-02-08,8.829999923706055
1982-02-09,8.920000076293945
1982-02-10,8.960000038146973
1982-02-11,9.079999923706055
1982-02-12,9.5600004196167
1982-02-13,9.449999809265137
1982-02-14,9.34000015258789
1982-02-15,9.8100004196167
1982-02-16,9.34000015258789
1982-02-17,9
1982-02-18,8.760000228881836
1982-02-19,9.119999885559082
1982-02-20,9.350000381469727
1982-02-21,9.630000114440918
1982-02-22,9.670000076293945
1982-02-23,9.670000076293945
1982-02-24,9.510000228881836
1982-02-25,8.760000228881836
1982-02-26,8.920000076293945
1982-02-27,9.029999732971191
1982-02-28,9.5
1982-03-01,9.829999923706055
1982-03-02,9.479999542236328
1982-03-03,9.069999694824219
1982-03-04,9.0600004196167
1982-03-05,9.40999984741211
1982-03-06,9.869999885559082
1982-03-07,10.520000457763672
1982-03-08,9.75
1982-03-09,9.510000228881836
1982-03-10,9.140000343322754
1982-03-11,8.619999885559082
1982-03-12,8.520000457763672
1982-03-13,9.010000228881836
1982-03-14,9.180000305175781
1982-03-15,9.390000343322754
1982-03-16,9.520000457763672
1982-03-17,9.5
1982-03-18,9.380000114440918
1982-03-19,9.319999694824219
1982-03-20,9.420000076293945
1982-03-21,9.609999656677246
1982-03-22,9.609999656677246
1982-03-23,9.609999656677246
1982-03-24,9.470000267028809
1982-03-25,9.90999984741211
1982-03-26,10.710000038146973
1982-03-27,11.210000038146973
1982-03-28,11.359999656677246
1982-03-29,11.350000381469727
1982-03-30,11.100000381469727
1982-03-31,11.25
1982-04-01,11.470000267028809
1982-04-02,12.100000381469727
1982-04-03,12.289999961853027
1982-04-04,12.869999885559082
1982-04-05,13.119999885559082
1982-04-06,13.119999885559082
1982-04-07,12.800000190734863
1982-04-08,13.079999923706055
1982-04-09,13.260000228881836
1982-04-10,13.09000015258789
1982-04-11,13.380000114440918
1982-04-12,13.229999542236328
1982-04-13,12.949999809265137
1982-04-14,13.15999984741211
1982-04-15,13.029999732971191
1982-04-16,11.90999984741211
1982-04-17,11.670000076293945
1982-04-18,12.050000190734863
1982-04-19,11.960000038146973
1982-04-20,11.930000305175781
1982-04-21,11.779999732971191
1982-04-22,11.520000457763672
1982-04-23,11.239999771118164
1982-04-24,12.220000267028809
1982-04-25,12.479999542236328
1982-04-26,12.5
1982-04-27,12.529999732971191
1982-04-28,12.880000114440918
1982-04-29,12.350000381469727
1982-04-30,12.390000343322754
1982-05-01,12.970000267028809
1982-05-02,13.449999809265137
1982-05-03,13.670000076293945
1982-05-04,13.729999542236328
1982-05-05,14.09000015258789
1982-05-06,14.0600004196167
1982-05-07,14.210000038146973
1982-05-08,14.359999656677246
1982-05-09,14.90999984741211
1982-05-10,15.09000015258789
1982-05-11,15.649999618530273
1982-05-12,15.670000076293945
1982-05-13,15.649999618530273
1982-05-14,15.75
1982-05-15,16.860000610351562
1982-05-16,17.350000381469727
1982-05-17,17.700000762939453
1982-05-18,18.110000610351562
1982-05-19,18.489999771118164
1982-05-20,19.200000762939453
1982-05-21,19.709999084472656
1982-05-22,19.559999465942383
1982-05-23,19.479999542236328
1982-05-24,15.90999984741211
1982-05-25,15.829999923706055
1982-05-26,16.440000534057617
1982-05-27,18.010000228881836
1982-05-28,18.020000457763672
1982-05-29,19.079999923706055
1982-05-30,19.1299991607666
1982-05-31,19.43000030517578
1982-06-01,19.84000015258789
1982-06-02,20
1982-06-03,21.239999771118164
1982-06-04,21.43000030517578
1982-06-05,22.040000915527344
1982-06-06,22.540000915527344
1982-06-07,22.600000381469727
1982-06-08,22.920000076293945
1982-06-09,23.479999542236328
1982-06-10,23.959999084472656
1982-06-11,23.670000076293945
1982-06-12,23
1982-06-13,20.770000457763672
1982-06-14,19.68000030517578
1982-06-15,19.829999923706055
1982-06-16,20.15999984741211
1982-06-17,20.579999923706055
1982-06-18,20.940000534057617
1982-06-19,21.360000610351562
1982-06-20,21.049999237060547
1982-06-21,22.25
1982-06-22,22.559999465942383
1982-06-23,22.729999542236328
1982-06-24,22.6200008392334
1982-06-25,23.770000457763672
1982-06-26,24.420000076293945
1982-06-27,24
1982-06-28,23.6299991607666
1982-06-29,23.739999771118164
1982-06-30,23.56999969482422
1982-07-01,23.780000686645508
1982-07-02,24
1982-07-03,23.899999618530273
1982-07-04,23.989999771118164
1982-07-05,24.18000030517578
1982-07-06,24.219999313354492
1982-07-07,24.270000457763672
1982-07-08,24.450000762939453
1982-07-09,24.65999984741211
